geom,Num_Occupants,Num_MotorVehicles,Fatalities_calc,SuspectedSeriousInjury_calc,NonMotorist_calc,Aggregated_Non_Motorist_txt,CityTownship,CountyNameTxt,Region,Zipcode_txtCARTO,TribalLand_txtCARTO,InjuryLevel,ExceedingSpeedLimitInd_boolCARTO,Seatbelt_boolCARTO,DistractedDrivingCde_boolCARTO,AlcoholSuspectedCde_txtCARTO,DrugSuspectedCde_txtCARTO,WeatherCde_txtCARTO,SurfaceConditionCde_txtCARTO,RdwyTypeCde_txtCARTO,RelativeLocIntersectCde,PostedSpeedNbr_binCARTO,WorkZoneInd_txtCARTO,DateOfIncident,AgencyIdNbr_txtCARTO,Injuries_calc,LatDec,LongDec,RdwyNameTxt,LocalCodeTxt,doi_date,doi_time,doi_dow_txtCARTO,HitAndRunInd_txtCARTO,VehicleMakeModelYearTxt_list,VehicleTypeCde_txtCARTO_list,doi_hour_txtCARTO,CrashType,CrashDetail
POINT(-93.07412971 44.97571102),2,1,0,0,1,Pedestrian,SAINT PAUL,RAMSEY,Metro,55130,Not on Tribal Land,Suspected Minor Injury,No,Not Completely,No,No,No,Clear,Dry,Alleyways,Four-Way Intersection,21 - 30 MPH,No,2025-08-30 17:31:00,Metropolitan Transit Police Dept,1,44.97571102,-93.07412971,230,25007350,"August 30, 2025",05:31:00 PM,Saturday,"No, Did not Leave Scene",2012 GILLIG LOW FLOOR,Transit Bus,5:00 PM - 5:59 PM,Collision w/ Non-Fixed Object,Pedestrian
POINT(-93.84778976 45.22313065),4,2,0,0,0,Motorist Only,BUFFALO,WRIGHT,East Central,55313,Not on Tribal Land,Suspected Minor Injury,No,Not Completely,Yes,No,No,Clear,Dry,County Road - CNTY,Four-Way Intersection,56 - 70 MPH,No,2025-08-30 13:59:00,MN State Patrol District 2600 - St Cloud,2,45.22313065,-93.84778976,MNTH 25@50TH ST NE,25602842,"August 30, 2025",01:59:00 PM,Saturday,"No, Did not Leave Scene","2015 NISSAN ALTIMA, 2015 NISSAN ALTIMA","Passenger Car, Passenger Car",1:00 PM - 1:59 PM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-96.11354504 46.33424474),2,2,0,0,0,Motorist Only,FERGUS FALLS,OTTER TAIL,West Central,56537,Not on Tribal Land,No Apparent Injury,Unknown,Yes,Unknown,Yes,No,Clear,Dry,County State Aid Highway - CSAH,T Intersection,41 - 55 MPH,No,2025-08-30 18:57:00,Otter Tail County Sheriff,0,46.33424474000001,-96.11354504,CSAH 88,002500028617,"August 30, 2025",06:57:00 PM,Saturday,"No, Did not Leave Scene","2014 SUBARU LEGACY, 2020 JEEP (1970-1988) RENEGADE (TRAILHAWK & LATITUDE)","Passenger Car, Passenger Car",6:00 PM - 6:59 PM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-93.34954262 44.99916014),3,2,0,0,0,Motorist Only,GOLDEN VALLEY,HENNEPIN,Metro,55422,Not on Tribal Land,Possible Injury,No,Yes,No,No,No,Clear,Dry,County State Aid Highway - CSAH,"Not at Intersection, Interchange or Junction",21 - 30 MPH,No,2025-08-30 16:22:00,MN State Patrol District 2500 - Golden Valley,1,44.99916014,-93.34954262,DULUTH ST AND 100,25510846,"August 30, 2025",04:22:00 PM,Saturday,"No, Did not Leave Scene","2014 CHEVROLET EQUINOX, 2025 SUBARU CROSSTREK","Sport Utility Vehicle, Sport Utility Vehicle",4:00 PM - 4:59 PM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-95.32833201 46.62983315),1,1,0,0,0,Motorist Only,HOMESTEAD,OTTER TAIL,West Central,56567,Not on Tribal Land,Suspected Minor Injury,Unknown,Unknown,Unknown,No,No,Not known at time of the crash,Dry,County State Aid Highway - CSAH,Driveway Access Related,41 - 55 MPH,No,2025-08-30 06:10:00,Otter Tail County Sheriff,1,46.62983315,-95.32833201,CSAH 8,25028554,"August 30, 2025",06:10:00 AM,Saturday,"No, Did not Leave Scene",2010 FORD ESCAPE,Sport Utility Vehicle,6:00 AM - 6:59 AM,Collision w/ Fixed Object,Ditch
POINT(-93.23993892 44.98214541),3,2,0,0,0,Motorist Only,MINNEAPOLIS,HENNEPIN,Metro,55414,Not on Tribal Land,Suspected Minor Injury,Unknown,Unknown,Unknown,Yes,No,Clear,Dry,County State Aid Highway - CSAH,Four-Way Intersection,21 - 30 MPH,No,2025-08-30 00:43:00,Minneapolis Police Dept,1,44.98214541,-93.23993892,4TH ST SE,25-247077,"August 30, 2025",12:43:00 AM,Saturday,"No, Did not Leave Scene","2017 HONDA CB300, 2023 TOYOTA CAMRY","Motorcycle, Passenger Car",12:00 AM - 12:59 AM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-93.30821497 45.0149855),1,2,0,0,0,Motorist Only,MINNEAPOLIS,HENNEPIN,Metro,55412,Not on Tribal Land,Possible Injury,No,Yes,No,No,No,Clear,Dry,County State Aid Highway - CSAH,Four-Way Intersection,,No,2025-08-30 14:30:00,Minneapolis Police Dept,1,45.0149855,-93.30821497,PENN AVE N,25-249722,"August 30, 2025",02:30:00 PM,Saturday,"Yes, Driver or Car and Driver Left Scene",2006 NISSAN QST,Sport Utility Vehicle,2:00 PM - 2:59 PM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
POINT(-93.28179794 44.99867026),2,1,0,0,0,Motorist Only,MINNEAPOLIS,HENNEPIN,Metro,55411,Not on Tribal Land,Suspected Minor Injury,Unknown,Unknown,Unknown,No,No,Clear,Dry,County State Aid Highway - CSAH,"Not at Intersection, Interchange or Junction",21 - 30 MPH,No,2025-08-30 16:35:00,Minneapolis Police Dept,2,44.99867026,-93.28179794,WASHINGTON AVE N,25-247771,"August 30, 2025",04:35:00 PM,Saturday,"No, Did not Leave Scene",2009 FORD FSE,Passenger Car,4:00 PM - 4:59 PM,Collision w/ Fixed Object,"Other Post, Pole or Support"
POINT(-93.29905744 45.04069553),2,1,0,0,0,Motorist Only,MINNEAPOLIS,HENNEPIN,Metro,55430,Not on Tribal Land,Suspected Minor Injury,Unknown,Unknown,Unknown,No,No,Clear,Dry,County State Aid Highway - CSAH,Unknown,,No,2025-08-30 23:07:00,Minneapolis Police Dept,2,45.04069553,-93.29905744,HUMBOLDT AVE N,25-248166,"August 30, 2025",11:07:00 PM,Saturday,"Yes, Driver or Car and Driver Left Scene",2012 MAZDA MAZDA2,Passenger Car,11:00 PM - 11:59 PM,Collision w/ Fixed Object,Standing Tree/Shrubbery
POINT(-93.39958191 45.05769833),2,2,0,0,0,Motorist Only,NEW HOPE,HENNEPIN,Metro,55428,Not on Tribal Land,No Apparent Injury,No,Yes,No,No,No,Clear,Dry,County State Aid Highway - CSAH,Interchange on Ramp,41 - 55 MPH,No,2025-08-30 10:19:00,MN State Patrol District 2500 - Golden Valley,0,45.05769833,-93.399581910000009,EB BASS LAKE RD AT NB USTH 169,25510837,"August 30, 2025",10:19:00 AM,Saturday,"No, Did not Leave Scene","2025 CHEVROLET MALIBU, 2018 FORD F150","Passenger Car, Pickup",10:00 AM - 10:59 AM,Collision w/ Non-Fixed Object,Motor Vehicle in Transport
